ID,Text,Offensive,HateSpeech,Vulgarity,Violence
1,@USER ردينا ع التطنز,OFF,NOT_HS,NOT_VLG,NOT_VIO
2,وصارت فطاير البقالات غذاء صحي  URL,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
3,@USER روحي لبريده تلقين اشباه كثير بس ماحد زيكم مشفوح يخقخق ويطالعهم بكل انحطاط ويصورهم الله يفشلكم بس,OFF,NOT_HS,NOT_VLG,NOT_VIO
4,"@USER مش باين حاجه خالص 
مش عارف بقى",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
5,"#اليوم_الاثنين

 يقولك :%90  من المسلمين 
عندهم خاله اسمها امل
أو عمه امل 
او اخت امل
او زوجه امل
او بنت امل
او حماة امل
واللي ماعنده ولا امل
بالعائلة يراجع نفسه لانه وضعه مو طبيعي/
وأي قروب فيه ""امل"" هو من أسعد القروبات
اذا عندكم وحده اسمها امل ارسلوها لها",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
6,حمدلله ماحطها في فمي اساسا URL,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
7,@USER هههه,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8,#بايع_الكليجا اللي مايضحك من هالمقطع يبلكني هههههههه مطططههببللللل  يمثلني ههههههه  URL,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
9,خلاص الله يزعجكم خلللاص  #بايع_الكليجا,OFF,NOT_HS,NOT_VLG,NOT_VIO
10,@USER هيلق و جحلط غير كذا مافي,OFF,NOT_HS,NOT_VLG,NOT_VIO
11,@USER تعبت ارد على كونت تراا متخلفين ورجعيين حتى كل اكتبها كوول كيفي ياناس حلوا عن سماي اااف,OFF,NOT_HS,NOT_VLG,NOT_VIO
12,"@USER وهو صادق من يسب الصحابه ويدعي تحريف القران ويتهم عائشه بالزنا وش نسميه مسلم مطور مثلا؟؟
الا بيض الله وجهه كلامه صحيح وماقال الا الحق ياالبقره",OFF,HS2,NOT_VLG,NOT_VIO
13,@USER بقوه,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
14,"RT @USER تذكروا جيدا #قائمة_الجزم  أكرم الله القارئين.
وتذكروا جيدا أنهم دائما وأبدا جاهزون، لتلبية وعد إبليس.
""ابليس يقول: محا…",OFF,NOT_HS,NOT_VLG,NOT_VIO
15,RT @USER في ذبانه لو اصيدها والله راح اربطها واركض يمها واصرخ,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
16,"@USER وين الحش ؟
اذا فهمته هو واشكاله ان زمن جلسه البيت انتهى وولى صار حش ؟
وبعدين وش نظام سواليف البزران هذي؟
اكبر ياخي",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
17,@USER انا كم مره اقولكم مو عيب اللي تسوونه؟ الكذب على الناس حرااااااااام,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
18,"@USER LOL 
شمشوم تحت المجهر. 
بن عمي شوف انا لو خاصمك تصعب علي
لو بدك محامي انت بس تطلب",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
19,وووووووووووووووو رومان رينز ️ #EleminationChamber URL,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
20,@USER ان شاء الله يرفع عليك وعليهم قضيه وتنجلدين من اهلك,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
21,@USER يلاا مشينا,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
22,ترند بتويتر لعنبو ابليسكم خلو المسلم بحالة شهرتو به   #بايع_الكليجا,OFF,NOT_HS,NOT_VLG,NOT_VIO
23,"┊↷

⠀┊

لن تحــصــل علــى غــدٍ افــضل مادمــت تفــكر بالامــس. 
       
   ​•   _______________⠀
⠀⠀⠀⠀⠀⠀ 

  ⠀▸ URL",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
24,"@USER بهذذذذدي .. صدقت  قسم محد يفرح لك الااا اللي يحبك
او من رحم ربي  URL",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
25,@USER دكتور فارس بتفرقكن راح تخلو التيار وحدو يجيب الحاصل,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
26,تعوسي عطاني فولو دخلت صفحته و اشوفه كاتب انو ساقطات اللي خقو على بايع الكليجا وطايح قذف فيهم و حسابه الحقير كله اباحيات  استشرافه صنفه قوي عطيته بلوك,OFF,HS1,NOT_VLG,NOT_VIO
27,"@USER ١٦٠ الف كيلو هذه اجيبها في ٣ سنين 
بتضحكو على مين !!!!! قال الضمان ٨ سنين قال",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
28,اختفى مروان تلودي طلعوا جولي شيك و القرشي,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
29,اليوم الجوى اكثر من رائع ....️☕️ URL,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
30,"RT @USER #افضح_معنفك !!!

لا يوجد اشد من هالفضيحه 
( بشار ) 
اللهم ارحم شهداء الوطن الأبرار 
دعواتكم 
 لعل الله القوي الجبار الم…",OFF,NOT_HS,NOT_VLG,NOT_VIO
31,"RT @USER تخيل نحتفل بالتعادل
مع فريق

جزمة ابو نوران 
أكبر من تاريخهم 
 URL",OFF,HS3,NOT_VLG,NOT_VIO
32,"حاط صورة حسن نصر الله
ويقول "" اهل الكويت الاصليين "" !

الطم ؟ 
ٰ URL",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
33,"RT @USER #رسالة_السيسي_بالزي_العسكري
الرئيس السيسى
لرئيس الأركان
يامحمد عايزك تشيل
الإرهابيين من على
وش الأرض
  #بكل_عنف_وقوة
اح…",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
34,"مبروووك @USER عاد ٣ كان خليتوها ٤ 
@USER  ترا حتى وضاح خسران اندية لندن",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
35,@USER انا ما اسافر بعيد التحرير,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
36,اكره شي في الحياة تطلع من بيتكم متسبح ومتعطر ومتزقرت وتدخل بوفية وفوق هذا العامل قاعد يقلي فلافل خلاص الحين وش يخلص اليوم ابي بس ارمي الثوب احسني صرة فلافلة,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
37,@USER نه,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
38,@USER كسرتيني ي غيدا  تحبين من وراي؟؟ ليه تخونيني‍♀️,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
39,@USER جاتني كتمه ، ٣ مواد ليه ؟!,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
40,@USER الشمال,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
41,@USER قلتي له يا الضرح واي اعتداء على عضيدي اعتداء علي و الرد بيكون شديد,OFF,NOT_HS,NOT_VLG,VIO
42,@USER لحول انت جالس لي فكل شي اكتبه,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
43,@USER ليش هالحقد ما عندنا احد في النص,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
44,@USER شكله مافهم معنها,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
45,"RT @USER #بايع_الكليجا
راح تتغير طريقة اكل الكليجا ..
البنت تبوسها ثم تأكلها...
الولد يدبجها ثم ياكلها..",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
46,@USER ليه بس انت حبيبك كتير,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
47,"RT @USER سبحان الله ناس تجري و راها الشهره 
و ناس تجري و را الشهره 
العالمية تعني اكسو 
 #EXOL #BestFan…",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
48,@USER ماش,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
49,جد يعني باجر دوام,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
50,@USER للاسف انهم يكذبون كما يتنفسون لأنهم,OFF,NOT_HS,NOT_VLG,NOT_VIO
51,"RT @USER افا يا الطرش يا التركستاني
طلع لك لسان وتتجرا تتكلم عن المنتخب السعودي",OFF,HS1,NOT_VLG,NOT_VIO
52,"RT @USER أقوى شي يسد النفس 

تجلس مع واحد ياكل تمر ويمصمص أصابعه 

ويرجع يقلب التمر و ينقي

 و يقولك :
شفيك ما تهبش ...
 
هبشك كيبل كه…",OFF,NOT_HS,NOT_VLG,NOT_VIO
53,@USER مايدرسون جغرافيا,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
54,ايمتى يخلص هالشهر                                                     والله لو إنّو 31 يوم,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
55,ميووووت,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
56,@USER اقسم بالله اني اشوف انك تاكل تبن أحسن لك ياطبل ياطار للبنات والفساد انطم ياذكر بعيد كل البعد عن الرجوله ياحيف بس اذا عاجبك اللي صار ليه ماوديت اهلك وخليتهم يعطون رايهم ويصورون ولد الناس اللي ابتلش من اللي تصفق لهم الخلا مير الخلا ياتسلب,OFF,HS6,NOT_VLG,NOT_VIO
57,#بايع_الكليجا قلة أدب وادوختونا صدق,OFF,NOT_HS,NOT_VLG,NOT_VIO
58,بيجيبون لي امراض الدنيا وانا توني بعمر الزهور,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
59,"#بايع_الكليجا 

الله يفضحكم فضحتونا بين العربان",OFF,NOT_HS,NOT_VLG,NOT_VIO
60,"#بايع_الكليجا ي بنات وش ذا حسبي الله عليكم 

أتقوا الله وأرتقوا ،،، أيش كمية الانحطاط بالتاق 

( مَا يَلْفِظُ مِن قَوْلٍ إِلا لَدَيْهِ رَقِيبٌ عَتِيدٌ )",OFF,HS6,NOT_VLG,NOT_VIO
61,@USER بسم الله علي,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
62,@USER طيب لا تدف,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
63,@USER حقش حق وحق الناس مرق,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
64,@USER رخم,OFF,NOT_HS,NOT_VLG,NOT_VIO
65,"الي يبيع الكليجا لابس كمام 
من ريحة اديوسهن وريحة اباطهن المعفنه الله لايلومك 

 #بايع_الكليجا",OFF,HS5,NOT_VLG,NOT_VIO
66,@USER ممحون,OFF,NOT_HS,NOT_VLG,NOT_VIO
67,بعض الأشخاص بسبب إنجازاتهم يستحقون كتاب شكر  يحتوي صورة شخصية بفلتر (م ط ي),NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
68,@USER بس يا بنت,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
69,"رسالة الرئيس 
عبد الفتاح السيسي 
لرئيس الأركان من مقر القيادة بشرق القناة 
يامحمد عاوزك تشيل الإرهابيين من علي وش الأرض",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
70,@USER بس اخاف نصاب بالسمنه,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
71,RT @USER وياريت كلنا نواسى أصحاب الجيوب الأنفية وحساسية الأنف والصدر ، لأنهم يتعذبون الآن,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
72,RT @USER إذا كان ع التفاح ي آبل مفيش اكترمنه URL,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
73,حد لاقي ياابني  URL,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
74,@USER الهاجوس يابو فارس ماريحنا متاملين فيه خير,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
