ID,Text,Offensive,HateSpeech,Vulgarity,Violence,translated_tweet
1,@USER ردينا ع التطنز,OFF,NOT_HS,NOT_VLG,NOT_VIO,@USER We responded to the sarcasm
2,وصارت فطاير البقالات غذاء صحي  URL,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,Grocery store pies have become a healthy food URL
3,@USER روحي لبريده تلقين اشباه كثير بس ماحد زيكم مشفوح يخقخق ويطالعهم بكل انحطاط ويصورهم الله يفشلكم بس,OFF,NOT_HS,NOT_VLG,NOT_VIO,"@USER Go to Buraidah, you will find many people who look like them, but no one is like you, you are pathetic, you look at them in a degrading manner, and you take pictures of them. May God make you fail."
4,"@USER مش باين حاجه خالص 
مش عارف بقى",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,@USER Nothing is visible at all. I don't know anymore.
5,"#اليوم_الاثنين

 يقولك :%90  من المسلمين 
عندهم خاله اسمها امل
أو عمه امل 
او اخت امل
او زوجه امل
او بنت امل
او حماة امل
واللي ماعنده ولا امل
بالعائلة يراجع نفسه لانه وضعه مو طبيعي/
وأي قروب فيه ""امل"" هو من أسعد القروبات
اذا عندكم وحده اسمها امل ارسلوها لها",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,"#Monday

He says: 90% of Muslims
have an aunt named Amal
or an uncle named Amal
or a sister named Amal
or a wife named Amal
or a daughter named Amal
or a mother-in-law named Amal
And whoever doesn't have Amal in their family should reconsider because their situation isn't normal.
Any group that has ""Amal"" in it is one of the happiest groups.
If you have someone named Amal, send her this message."
6,حمدلله ماحطها في فمي اساسا URL,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,Thank God I didn't put it in my mouth in the first place URL
7,@USER هههه,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,@USER Haha
8,#بايع_الكليجا اللي مايضحك من هالمقطع يبلكني هههههههه مطططههببللللل  يمثلني ههههههه  URL,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,"#Baie_Al_Klijah Whoever doesn’t laugh at this clip, lick me, hahahahaha, it’s so funny, it represents me, hahahahaha URL"
9,خلاص الله يزعجكم خلللاص  #بايع_الكليجا,OFF,NOT_HS,NOT_VLG,NOT_VIO,"Enough, may God bother you, enough. #Klija_seller"
10,@USER هيلق و جحلط غير كذا مافي,OFF,NOT_HS,NOT_VLG,NOT_VIO,"@USER Helq and Jahlat, there is nothing else"
11,@USER تعبت ارد على كونت تراا متخلفين ورجعيين حتى كل اكتبها كوول كيفي ياناس حلوا عن سماي اااف,OFF,NOT_HS,NOT_VLG,NOT_VIO,@USER I'm tired of replying to you. You are backward and reactionary. I even write whatever I want. Get out of my way. Ugh.
12,"@USER وهو صادق من يسب الصحابه ويدعي تحريف القران ويتهم عائشه بالزنا وش نسميه مسلم مطور مثلا؟؟
الا بيض الله وجهه كلامه صحيح وماقال الا الحق ياالبقره",OFF,HS2,NOT_VLG,NOT_VIO,"@USER He is honest. He insults the companions, claims that the Quran was distorted, and accuses Aisha of adultery. What do we call him, a modern Muslim, for example? May Allah make his face white. His words are correct, and he only said the truth, O cow."
13,@USER بقوه,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,@USER Strongly
14,"RT @USER تذكروا جيدا #قائمة_الجزم  أكرم الله القارئين.
وتذكروا جيدا أنهم دائما وأبدا جاهزون، لتلبية وعد إبليس.
""ابليس يقول: محا…",OFF,NOT_HS,NOT_VLG,NOT_VIO,"RT @USER Remember well #The_Bucket_List May God honor the readers.
And remember well that they are always and forever ready to fulfill Satan's promise.
""Satan says: I am…"
15,RT @USER في ذبانه لو اصيدها والله راح اربطها واركض يمها واصرخ,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,"RT @USER If I catch a fly, I swear I will tie it up, run towards it and scream"
16,"@USER وين الحش ؟
اذا فهمته هو واشكاله ان زمن جلسه البيت انتهى وولى صار حش ؟
وبعدين وش نظام سواليف البزران هذي؟
اكبر ياخي",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,"@USER Where's the hash?
If he and his ilk understand that the time of sitting at home is over and gone, then has he become a hash?
And then what is the system of these sod gossip?
It's bigger, man."
