ID,Text,Offensive,HateSpeech,Vulgarity,Violence,translated_tweet
8888,@USER افطرت عليك بعقاء واثنين من فروخها الجن,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,@USER I broke my fast with a camel and two of its jinn chicks
8889,"#داليا_مبارك
مادري ليش تقرفت",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,"#Dalia_Mubarak
I don't know why I got disgusted"
8890,"RT @USER ابديت السناب  الجديد 
حاس الناس حوس ،أشوف مشاهير. تضيفني، مشاهير تتابع يومياتي ، ابديت كرهني بالسناب  كله",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,"RT @USER I released my new snapchat. People are circling. I see celebrities adding me, celebrities following my daily life. I showed my hatred all over snapchat."
8891,@USER هييه والله وااايدد,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,"@USER Yes, by God, it's really good"
8892,اكيد اخس شي  URL,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,The worst thing is the URL
8893,مابي شي الحين غير فراشي,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,I have nothing now but my bed
8894,RT @USER اقسم بالله عيب اللي يصير,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,RT @USER I swear to God what is happening is shameful
8895,@USER اه هذا واش عندوا زيادة,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,"@USER Oh, what does he have to do with this?"
8896,@USER اذكر الله يامل الحتسه,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,"@USER Remember God, O Amal Al-Hatsa"
8897,"RT @USER ابتلشت بالقرد  
القرد عاد نفسه فرد من العائله !  URL",OFF,NOT_HS,NOT_VLG,NOT_VIO,"RT @USER I was afflicted by a monkey
The monkey became a member of the family again! URL"
8898,@USER اما ساحبه,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,@USER As for withdrawing it
8899,"#حب_الانتر_نت_صدق_او_كذب 
لا صدق ولا كذب.. لعب بالمشاعر فقط. وإذا تعلقت في من تحب ""حظرك"" ..  هنا وقتها تحط موجوع قلبي",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,"#Internet_Love_Truth_Or_Lie
Neither truth nor lie.. Just playing with feelings. And if you get attached to the one you love and he ""blocks"" you.. That's when you put the pain in my heart"
8900,@USER حيوان هذا,OFF,NOT_HS,NOT_VLG,NOT_VIO,@USER This animal
8901,"RT @USER #كلمه_لحظك 
 احتاج غرفة فاضيه فيها..
أنـا
وحظي
ونعال
امردغه أمردغه امردغه
ورجاءً لحد يتدخل",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,"RT @USER #A_Word_Of_Your_Luck
I need an empty room with...
me, my luck, and slippers.
I'm going to stomp on and on and on.
And please, no one should interfere."
8902,"الا الحاجه اللي مابتتعوضش
#كله_بيتعوض_الا",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,Except for the irreplaceable thing. #Everything_can_be_replaced_except
8903,@USER نبغاك تفك النصر من شرك كافي مادهرته بتطبيلك وتضليلك لادارة الجهل السابقة التي حاست النصر واضعفته وانت كنت المضلل الكبير لها !! خلاص ياعبدالعزيز كرتك احترق والمفروض تتوارى عن النصر فليس لك قبول من الجميع !,OFF,HS3,NOT_VLG,NOT_VIO,"@USER We want you to free Al-Nasr from the trap that you have destroyed with your flattery and misleading of the previous ignorant administration that has weakened Al-Nasr and you were the one who misled it!! That's it, Abdulaziz, your ball is burned and you should disappear from Al-Nasr because not everyone accepts you!"
8904,@USER انا مقرره اتوب بس ذا طلعني عن طوري,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,"@USER I decided to repent, but this made me lose my temper."
8905,"#سعوديه_الاصل_و_المنشا 
 #أبن_مدعج_الوايلي_ربع_مليون 
الاشكال هذي اللي تطلع بالاعلام وتقول انا سعوديه 
وللاسف الاعلام السعودي نايم ومكبر الوساده ومخليهم على راحتهم يمثلون الوطن بشكل غير صحيح  URL",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,"#Saudi_in_origin_and_origin
#Ibn_Mudaj_Al-Waili_Quarter_of_a_Million
These types appear in the media and say I am Saudi
Unfortunately, the Saudi media is asleep and making the pillow bigger and letting them do what they want to represent the country incorrectly URL"
8906,هالتونسيه تطقطق علينا هالوقت معليش تمون :اجل نهار ومساء .,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,"This Tunisian woman is chatting with us now. Excuse me, she is always here. Yes, day and night."
8907,"@USER بنت الفراش ومنقهرة وعشان كذا نطيتي في منشني وتقولين انقلعي 
ههههههههههههههههههههههههههههههههه
الخلا منااك متخلفه",OFF,NOT_HS,NOT_VLG,NOT_VIO,"@USER You are a bedbug and you are frustrated, and that is why you jumped on my mention and said to get lost.
Hahahahahaha
You are so backward."
8908,@USER قسم بالله ي شبيه الرجال هاذي انهم يتميلحون,OFF,NOT_HS,NOT_VLG,NOT_VIO,"@USER I swear to God, these men look like they are being flirtatious."
8909,@USER ماملت عينك القصه,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,@USER I didn't see the story
8910,"مدري ماشفنا الا اصدقاء الهموم والسلف 

#اصدقا_الوناسه_وينهم",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,"We only saw friends of worries and pasts.

#Friends_of_fun, where are they?"
8911,مطرح ما يمشي يمشي   يوم شكله مش معدي  URL,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,"Wherever he goes, he goes. It seems he doesn't pass by. URL"
8912,هذا فود باطح اقلعوا فينقر لعنة الله عليكم  URL,OFF,NOT_HS,NOT_VLG,NOT_VIO,"This is food, go away, and may God curse you. URL"
8913,@USER السبب هما الحمدين لاحمد الله لهما وهولاء الاثنين  URL,OFF,NOT_HS,NOT_VLG,NOT_VIO,"@USER The reason is the two praises for which I thank God, and these two URL"
8914,@USER انا بنت,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,@USER I am a girl
8915,"RT @USER -بابا هو انا لو نجحت هتفرح؟
=ده انا هموت م الفرحه..
-وانا سقطت عشان مقدرش اعيش من غيرك",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,"RT @USER - Dad, if I succeed, will you be happy?
= I'm going to die of joy..
- And I failed because I can't live without you"
8916,@USER ايش قلة الحيا ذي,OFF,NOT_HS,NOT_VLG,NOT_VIO,@USER What is this shamelessness?
8917,@USER خروفات,OFF,NOT_HS,NOT_VLG,NOT_VIO,@USER Sheep
8918,RT @USER استغفر الله بنات بدايه شغالين على هالصبح احسب في توينز يناشدون الملك سلمان ولا منجزين شي دامهم في قلوبنا وبكره يطلعون من ال…,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,"RT @USER I seek God’s forgiveness, girls, you started working this morning. I think there are twins appealing to King Salman. They haven’t accomplished anything as long as they are in our hearts. Tomorrow they will leave the…"
8919,@USER الهنديه ؟,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,@USER Indian?
8920,وااااه لعنةةة اللله عليهمم احسبها قفلة الحلقه الاولى تفووو عليكم ما افشلكم يارب تفلسون ياارب ماعندكم اي حس فني في الانتاج URL,OFF,NOT_HS,NOT_VLG,NOT_VIO,"Waaah, may God curse them. I think it’s the end of the first episode. Shame on you. How failed you are. I hope you go bankrupt. I hope you don’t have any artistic sense in production. URL"
8921,"صباح الخير لاولئك الذين لم يناموا الا لبضع ساعات واستيقظوا اجتهادا وطلباً للعلم ♥️
ولا عزاء للنائمين",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,"Good morning to those who only slept for a few hours and woke up working hard and seeking knowledge. ♥️
No consolation for those who are asleep."
8922,@USER تعالي خاص وافهمتس بكل شي  واوريتس بعد,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,@USER Come on in private and explain everything to me and send me emails too
8923,"@USER ياساتر في الطاقية الله يكرم النعمة
جدتي تقول اللي ما يحضر يودون له قسمه
يا إنهم فيهم خير زمان الله يرحمهم جميعاً",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,"@USER Oh my God, what a blessing it is with the hat. My grandmother says that whoever doesn't attend will be given a share. They were the best of times. May God have mercy on them all."
8924,#بايع_الكليجا اشوف واتعجب ل هدرجه مابقى فيه حياء ؟ شهرتوا بالولد وجبتوا اسمه والحين هاشتاق !! يععع من جد تخلف,OFF,NOT_HS,NOT_VLG,NOT_VIO,"#Baie_Al_Klijat I see and am amazed, to the extent that there is no shame left? You made the boy famous and brought up his name and now he has a hashtag!! Ugh, seriously, this is backward."
8925,@USER سألي لاه,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,@USER Ask me why
8926,"الركض والضحك اذا اجتمعوا !

 يتحول الشخص لمعاق ☺

#الُـِـِِـِِِـِِـِـنـِِـِـجـاار",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,"Running and laughter when combined!

The person becomes disabled ☺

#الُـِـِـِـنـِـِـجـاار"
8927,@USER عيوشوانتي شريكتي حياة,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,@USER Aishwanti is my life partner
8928,@USER بالله صدق، URL,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,"@USER I swear to God, URL"
8929,واخير ود ع كل ذكر ملعون يخق ع اليهوديات وع العاريات ع الاقل خقينا ع ولد بلدنا ام انتم تخقون ع الاشياء الرخيصه ي رخيص #بايع_الكليجا,OFF,HS6,NOT_VLG,NOT_VIO,"Finally, goodbye to every cursed male who fears Jewish women and naked women. At least we feared our own people, or are you fearing cheap things, you cheap baie’e klijah?"
8930,"@USER وحسيت ان في شي غلط باذوني كل ما اسمعها، الى ان دورت الكلمات ولقيت هذي المقالة عن ""حرص"" زين على تقوية الفصحى لدى الجيل الجديد، بعدين ما قدرت استحمل",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,"@USER I felt that there was something wrong with my ears every time I heard it, until I searched for the words and found this article about Zain’s “keenness” to strengthen classical Arabic among the new generation. After that, I couldn’t stand it anymore."
8931,"@USER اقول اكلي خره والله يحشرج مع ابن القحبه صدام الخنزير المقبور .. لمن بتتفلسفين يطلع من حلجج زق كفايه تفلسف حتى اسمه مو عارفته ترا اسمه شعيب وكلمة ""سوار"" نكايه على السوار الهديه اللي يهديه لضيوفه بكل حلقه .. حسستيني ان برنامج اكشن يا دوري اسم المقدم فيه هو ""اكشن""",OFF,NOT_HS,VLG,NOT_VIO,"@USER I say eat shit and may God make you go to sleep with the son of a whore, Saddam the buried pig. When you philosophize, get a stick out of your throat. Stop philosophizing. I don’t even know his name. His name is Shoaib, and the word “Sawar” is a joke about the bracelet, the gift he gives to his guests in every episode. You made me feel like the presenter’s name on the Action Ya Dory show is “Action.”"
8932,"#بايع_الكليجا الله يرزقه 

# البنات ان لم تستحي فافعل ماشئت",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,"#Klijah_seller May Allah provide for him

# Girls, if you have no shame, do whatever you want"
8933,@USER شايف افتارك,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,@USER I saw your avatar
8934,RT @USER السنة دي مش سالكة والله,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,"RT @USER This year is not going well, I swear"
8935,"RT @USER انا اتعب في التنظيف و ولدي #الديوث جالس يحلب زبه على جسمي  … طيب قولي انك تبي #طيزي احسن ما حليب يروح عالفاضي  
#زينب_ام_طي…",OFF,NOT_HS,VLG,NOT_VIO,"RT @USER I get tired of cleaning and my son #cuckold is milking his cock on my body... Ok tell me you want #cock it's better than the milk going to waste
#Zainab_Umm_Tayy…"
8936,@USER مع الاسف منظر موسف جداً,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,"@USER Unfortunately, this is a very sad scene."
8937,@USER ههههههههههههههههههههههههههه,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,@USER HAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHA
8938,"انا بحب يوم الخميس اوي باجي من السكن بلاقي ماما عمله كل الاكل اللي بحبه 
والحمد لله بهضمه يوم الجمعه مع النزول واللف مع صحابي
وبرجعوا اما باجي السكن تاني",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,"I really love Thursdays. When I come home from the dorm, I find my mom has made all the food I love. Thank God, I can digest it on Friday while going out and hanging out with my friends. They come back when I come home again."
8939,@USER ياتسبدددديه من ذا,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,"@USER Oh my God, who is this?"
8940,"@USER بيسقط راسك انت عن جسمك &gt;&gt;جمله ورديتها لك ان كنت تقصد بها دعوه فبترجع لك لان الله مايستجيب دعوة الظالم ياظالم فالله يردها لك &lt;&lt;جنيت ع نفسك يالجاهل ههههههه

ويلا خذ لك بلوك بكعب جزمتي واقلب وجهك  URL",OFF,NOT_HS,NOT_VLG,VIO,"@USER Your head will fall off your body &gt;&gt; A sentence I returned to you, if you meant it as a prayer, then it will be returned to you because God does not answer the prayer of the oppressor, O oppressor, so God will return it to you &lt;&lt; You have brought it upon yourself, you ignorant person, hahahahaha

Come on, I will block you with the heel of my shoe and turn your face away URL"
8941,مش بعرف اذاكر وانت قلقانه علي مصر  URL,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,I don't know how to study and you are worried about Egypt URL
8942,صار ترند  URL,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,URL trending
8943,@USER شهر 3,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,@USER March
8944,"RT @USER #بايع_الكليجا
ما أستغرب حثالة بعض البنات. أنا جيت الرياض يومين وشفت العجب.. الى حد التصوير سيلفي 
لا أعمم ولكن فيه حثاله…",OFF,HS6,NOT_VLG,NOT_VIO,"RT @USER #Baie_Al_Klijah
I'm not surprised by the scum of some girls. I came to Riyadh for two days and saw amazing things.. even taking selfies.
I'm not generalizing, but there are scum..."
8945,الله يفرج همها ويحل مشكلتها على خير للاسف ان قضيتها فيه مئات البنات زيها المصيبه ان مماطلة وتسلط بعض القضاة يزيد من عناد الرجل ويجهد المرأه اللي يروح عمرها على سنوات من الانتظار هذا غير ان المحاكم مهمشين العامل النفسي #مهجوره_اربع_سنه_اريد_فك_قيودي,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,"May God relieve her distress and solve her problem for the better. Unfortunately, her case involves hundreds of girls like her. The tragedy is that the procrastination and tyranny of some judges increases the man’s stubbornness and exhausts the woman, whose life is wasted in years of waiting. In addition, the courts marginalize the psychological factor. #Abandoned_for_Four_Years_I_Want_To_Unchain_My_Chains"
8946,@USER ليه يالا يا علق والله انت واحشنى,OFF,NOT_HS,NOT_VLG,NOT_VIO,"@USER Why? Come on, hang up. I really miss you."
8947,@USER انتي هنا جاوبي ههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه  URL,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,"@USER You are here, answer me Hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha URL"
8948,الله يفضح عرض الي اخترع الانتركوم والجرس,OFF,NOT_HS,NOT_VLG,NOT_VIO,May God expose the show of the one who invented the intercom and the doorbell
8949,"#ضع_لجنه_في_اسم_فيلم
قبضه اللجان",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,"#Put_a_committee_in_a_movie_name
The_Committees_Fist"
