Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong,translated_tweet
- disaat semua cowok berusaha melacak perhatian gue. loe lantas remehkan perhatian yg gue kasih khusus ke elo. basic elo cowok bego ! ! !',1,1,1,0,0,0,0,0,1,1,0,0,"- when all the boys are trying to catch my attention. Then you underestimated the attention I gave you specifically. basic, you stupid guy! ! !'"
RT USER: USER siapa yang telat ngasih tau elu?edan sarap gue bergaul dengan cigax jifla calis sama siapa noh licew juga',0,1,0,0,0,0,0,0,0,0,0,0,RT USER: USER who's late in telling you? I'm crazy and I'm hanging out with Cigax Jifla Calis and who's noh licew too'
"41. Kadang aku berfikir, kenapa aku tetap percaya pada Tuhan padahal aku selalu jatuh berkali-kali. Kadang aku merasa Tuhan itu ninggalkan aku sendirian. Ketika orangtuaku berencana berpisah, ketika kakakku lebih memilih jadi Kristen. Ketika aku anak ter",0,0,0,0,0,0,0,0,0,0,0,0,"41. Sometimes I think, why do I still believe in God even though I always fall over and over again. Sometimes I feel like God left me alone. When my parents planned to separate, when my older brother chose to become a Christian. When I was the youngest child."
USER USER AKU ITU AKU\n\nKU TAU MATAMU SIPIT TAPI DILIAT DARI MANA ITU AKU',0,0,0,0,0,0,0,0,0,0,0,0,"USER USER I AM THAT'S ME\n\nI KNOW YOUR EYES ARE NARROW BUT WHERE DO YOU SEE IT, IT'S ME'"
USER USER Kaum cebong kapir udah keliatan dongoknya dari awal tambah dongok lagi hahahah',1,1,0,1,1,0,0,0,0,0,1,0,"USER USER The stupid cebong people have been seen to be stupid from the start, they're even more stupid hahahah'"
USER Ya bani taplak dkk \xf0\x9f\x98\x84\xf0\x9f\x98\x84\xf0\x9f\x98\x84',1,1,0,1,0,0,0,0,1,0,1,0,USER Yes bani tablecloth et al \xf0\x9f\x98\x84\xf0\x9f\x98\x84\xf0\x9f\x98\x84'
deklarasi pilkada 2018 aman dan anti hoax warga dukuh sari jabon,0,0,0,0,0,0,0,0,0,0,0,0,declaration of 2018 regional elections safe and anti-hoax residents of Dukuh Sari Jabon
Gue baru aja kelar re-watch Aldnoah Zero!!! paling kampret emang endingnya! 2 karakter utama cowonya kena friendzone bray! XD URL,0,1,0,0,0,0,0,0,0,0,0,0,"I just finished re-watching Aldnoah Zero!!! The ending is the worst! The 2 main male characters are friend zoned, bro! XD URL"
"Nah admin belanja satu lagi port terbaik nak makan Ais Kepal Milo, Ais Kepal Horlicks atau Cendol Toping kaw kaw. š??­; ; Doket mano tu ? Gerai Rojak Mertuaku - Taipan 2 (depan TWINS BABY &amp; ROMANTIKA / Bank Islam Senawang) š???",0,0,0,0,0,0,0,0,0,0,0,0,"Well, admin bought another best port to eat Milo Ice Cream, Horlicks Ice Cream or Cendol Toping kaw kaw. š??; ; Where's the doctor? My In-Laws Rojak Outlet - Taipan 2 (in front of TWINS BABY & ROMANTIKA / Bank Islam Senawang) š???"
USER Enak lg klo smbil ngewe',0,1,0,0,0,0,0,0,0,0,0,0,USER It's even better when having sex
"Setidaknya gw punya jari tengah buat lu, sebelom gw ukur nyali sama bacot lu \xf0\x9f\x98\x8f'",1,1,1,0,0,0,0,0,1,1,0,0,"At least I have a middle finger for you, before I measure your guts with your blabbering \xf0\x9f\x98\x8f'"
USER USER USER USER BANCI KALENG MALU GA BISA JAWAB PERTANYAAN KAMI DARI 2 HARI LALU.... NYUNGSEP KOE USER URL,1,1,1,0,0,0,0,1,0,1,0,0,USER USER USER USER THAT SISSY IS EMBARRASSED AND CANNOT ANSWER OUR QUESTIONS FROM 2 DAYS AGO.... YOU'RE SO FUCKED UP USER URL
Kalo belajar ekonomi mestinya jago memprivatisasi hati orang. Duh.. ironi USER,0,0,0,0,0,0,0,0,0,0,0,0,"If you study economics, you should be good at privatizing people's hearts. Duh.. the irony of USER"
Aktor huruhara 98 Prabowo S ingin lengserkan pemerintahan Jokowi.... Nyata,1,0,1,0,0,0,0,0,1,1,0,0,98 riot actor Prabowo S wants to overthrow Jokowi's government.... Real
USER Bu guru enakan jadi jablay atau guru esde sih.\nKayaknya menikmati jadi pecun ini guru.',1,1,1,0,0,0,0,1,0,1,0,0,"USER Teacher, it's better to be a jablay or an esde teacher.\nIt seems like this teacher enjoys being a hoe.'"
"USER USER USER USER USER USER Lawan bicara gw gak intelek kyk loe, yg otak gak punya. Ttg kencing onta, gw mengakui hadis nabi dan itu sahih. Kafir kyk loe pasti menolak, makanya loe ahlunnar.'",1,1,1,0,1,0,0,0,0,1,0,0,"USER USER USER USER USER USER My interlocutor is not as intellectual as you, he doesn't have a brain. About camel urine, I acknowledge the prophet's hadith and it is authentic. An infidel like you would definitely reject it, that's why you are an ahlunnar.'"
Belakangan ini kok fikiran ampas banget ya',0,0,0,0,0,0,0,0,0,0,0,0,"Lately, my thoughts have been so rubbish, huh?"
Ari sarua beki mah repeh monyet\xf0\x9f\x98\x86\xf0\x9f\x98\x86',0,1,0,0,0,0,0,0,0,0,0,0,Ari sarua beki mah small change monkey\xf0\x9f\x98\x86\xf0\x9f\x98\x86'
Jadi cowo itu harus Gantle kalo ga Gantle itu namanya BANCI !',1,1,0,1,0,0,0,1,0,0,1,0,"So guys have to be handsome, if they're not handsome they're called SISSY!'"
USER Slga mnr bom \xf0\x9f\x98\x82',0,0,0,0,0,0,0,0,0,0,0,0,USER Slga mnr bomb \xf0\x9f\x98\x82'
"Asw ya tapi gua jarang ngambek, tacut wkkwkwkwkw gua kan bucin.'",0,1,0,0,0,0,0,0,0,0,0,0,"Asw yes, but I rarely sulk, I'm scared hahaha I'm a bitch.'"
USER kalo kamu noob pasti peluang disakitin nya lebih gede si',0,0,0,0,0,0,0,0,0,0,0,0,"USER, if you are a noob, the chances of being hurt are greater, si'"
"USER Joko Widodo dinilai sebagai presiden terlemah dalam sejarah Indonesia. Hal ini terjadi bukan saja karena Jokowi tidak memiliki modal dukungan politik yang cukup, melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi g",0,0,0,0,0,0,0,0,0,0,0,0,"USER Joko Widodo is considered the weakest president in Indonesian history. This is not only because Jokowi does not have enough political support, but also because of his government's inability to deal with the economic situation g"
PELAJAR SMA KEC BILAH HILIR DEKLARASI ANTI HOAX &amp; PILKADA 2018 DAMAI,0,0,0,0,0,0,0,0,0,0,0,0,BILAH HILIR DISTRICT HIGH SCHOOL STUDENTS DECLARATION OF ANTI HOAX & PEACEFUL 2018 REGIONAL ELECTIONS
Bandara Udara Internasional Kertajati dibangun oleh Gubernur Ahmad Heryawan tanpa gunakan APBN pemerintah pusat. Insya Allah siap beroperasi bulan depan;,0,0,0,0,0,0,0,0,0,0,0,0,"Kertajati International Airport was built by Governor Ahmad Heryawan without using the central government's APBN. God willing, it will be ready to operate next month;"
"Siapapun gubernur dan presidennya, rakyatnya, ya kitaĀ² juga...",0,0,0,0,0,0,0,0,0,0,0,0,"Whoever the governor and president are, the people, yes we too..."
Ini si USER kerjaannya delay mulu! Setan!',1,1,0,1,0,0,0,0,1,0,1,0,This USER's work is always delayed! Devil!'
menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modusbanget,0,0,0,0,0,0,0,0,0,0,0,0,"I think the gate of heaven exists, namely the real gate of heaven and the door to your heart is really fake"
RT USER USER USER PKI hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden krn digoreng sampai gosong.,1,0,0,1,0,1,0,0,0,0,1,0,RT USER USER USER PKI only appears when regional head elections and presidential elections are approaching because it is fried until it is burnt.
USER USER Itu mah sdh nenek-nenek sy heran sama cebong biasay bohong terus',1,1,1,0,0,0,0,0,1,1,0,0,"USER USER That's it, my grandmothers were surprised at how the tadpole used to lie all the time'"
"USER USER USER USER USER USER USER USER USER Islam Nusantara produk JIL, dipasarkan dg gencar oleh antek\xc2\xb2 JIL.\n\nSementara JIL anti Arab, tapi pro Aseng!\n\nKata (alm) KH. Hasyim Muzadi,",1,0,0,1,1,0,0,0,0,0,1,0,"USER USER USER USER USER USER USER USER USER Islam Nusantara, a JIL product, is being aggressively marketed by JIL's lackeys.\n\nWhile JIL is anti-Arab, but pro-Aseng!\n\nThe late KH. Hasyim Muzadi said,"
Dari habis sahur sampe jam 10. Sibayik udah nete 4x. Skg rasanya lemas tak terkira \xf0\x9f\xa4\xa2',0,0,0,0,0,0,0,0,0,0,0,0,Since after sahur until 10 o'clock. Sibayik has eaten 4 times. Now I feel incredibly weak \xf0\x9f\xa4\xa2'
USER Gak kak emak mah gak demen ama yang sipit wkwk',0,0,0,0,0,0,0,0,0,0,0,0,"USER No, sis, I don't like narrow-minded ones hahaha"
"RT USER: Kelakuan homok jaman now, ngentot aja sambil live di Blued #gayvid #gvid #lokalhangat URL",0,1,0,0,0,0,0,0,0,0,0,0,"RT USER: Gay behavior these days, just have sex while live on Blued #gayvid #gvid #local warm URL"
"USER Ga kak, gua bukan orang jawa maaf yak :(; ; gua orang palembang soalnya, kakak aja deh yg belajar aksara jawa. Atau kalak mau belajar budaya palembang?",0,0,0,0,0,0,0,0,0,0,0,0,User
Pegawai Guardian training lagi kek Mentang2 gue kek gembel cuman kaos sama Flat shoes nanya dijutekin bangsad emang males belinya juga kabur gua ke matahari',1,1,0,1,0,0,0,0,1,0,1,0,"Guardian employees are training again, just because I look like a bum, I only have a t-shirt and flat shoes, but when I ask, they'll treat me rudely, I'm too lazy to buy them, so I'll run away to the sun.'"
\xe2\x80\x9dPara Bajingan yang telah melukai Lady harus menerima ganjaran seratus kali lipat!!\xe2\x80\x9d(sanji) ##HBD17thPelautJKT48',0,1,0,0,0,0,0,0,0,0,0,0,\xe2\x80\x9dThe bastards who hurt Lady must receive a hundredfold retribution!!\xe2\x80\x9d(sanji) ##HBD17thPelautJKT48'
ajakan menolak berita hoax dan sukseskan pilkada di wilayah kota keidri:,0,0,0,0,0,0,0,0,0,0,0,0,an invitation to reject hoax news and make the regional elections in the Keidri city area a success:
USER USER Presiden RI Jokowi luarBiasa kerja nya tulus IHLAs untuk #RakyatB3rsamaJKW,0,0,0,0,0,0,0,0,0,0,0,0,"USER USER President of the Republic of Indonesia Jokowi is extraordinary, his work is sincere IHLAs for #RakyatB3rsamaJKW"
Edan emang goollnya fabiano!!',0,1,0,0,0,0,0,0,0,0,0,0,Fabiano is really cool!!'
GAPERNAH MENDALAMI AL-QURAN YA BANG??? PANTESAN MULUTNYA KAYA ORANG KAFIR BEJAT HINA farhatabbaslaw',1,1,1,0,1,0,1,0,0,1,0,0,"HAVE YOU NEVER STUDYED THE QURAN, BRO??? NO WONDER YOUR MOUTH IS LIKE A DEpraved, DESPICABLE INFIDEL farhatabbaslaw'"
"Sangat terlihat beda sekali Kewibawaannya ,; yg sangat berwibawa cuma gubernur Indonesia USER ; Massya Allah...",0,0,0,0,0,0,0,0,0,0,0,0,"It is very obvious that his authority is very different,; the only one who is very authoritative is the Indonesian governor USER; Masya Allah..."
Anjir baru kali ini lihat orang bego mau debat pilkada. Kerjanya nyerang karakter. Shame on you mpok silvy and agus. #DebatFinalPilkadaJKT,1,1,0,1,0,0,0,0,1,0,1,0,"Damn, this is the first time I've seen stupid people wanting to debate the regional elections. Their job is to attack the character. Shame on you Mpok Silvy and Agus. #DebateFinalPilkadaJKT"
"#GubernurZamanNow #GusIpulPuti2 #GanjarYasin1 #DjarotSihar2 #HasanAnton2 #KosterAce1 #NurdinSudirman3 #KarolinGidot2 RT USER: ""Keanekaragaman budaya, suku, agama, itulah sesungguhnya kekayaan kita,ā?? tutur Djarot di hadapan peserta Rakercabsuā?¦",0,0,0,0,0,0,0,0,0,0,0,0,"#GovernorZamanNow #GusIpulPuti2 #GanjarYasin1 #DjarotSihar2 #HasanAnton2 #KosterAce1 #NurdinSudirman3 #KarolinGidot2 RT USER: ""Diversity of culture, ethnicity, religion, that is truly our wealth,ā?? said Djarot in front of Rakercabsuā?¦ participants."
